Fips,State,County,People_Health_LengthOfLife_LifeExpectancy,People_Health_LengthOfLife_Premature Death,People_Health_QualityOfLife_FreqPhyDistress,People_Health_QualityOfLife_FreqMenDistress,People_Health_QualityOfLife_AdultWithDiabetes,People_Health_QualityOfLife_HIVPrevRate,People_Health_HealthBehaviours_AdultsWithObesity,People_Health_HealthBehaviours_AdultsSmoking,People_Health_HealthBehaviours_ExcessiveDrinking,People_Health_HealthBehaviours_PhysicallyInactive,People_Health_HealthBehaviours_InsufficientSleep,People_Health_HealthResources_AccessToCare_Uninsured,People_Health_HealthResources_AccessToCare_PrimaryCarePhysicianRate,People_Health_HealthResources_AccessToCare_MentalHealthProviderRate,People_Health_HealthResources_AccessToCare_DentistRate,People_Health_HealthResources_QualityOfCare_FluVaccinations,People_Health_HealthResources_QualityOfCare_PercentWithAnnualMammogram,People_Health_HealthResources_QualityOfCare_PreventableHospitalizationRate,People_Health_LifeExpectancy,People_Wealth_MedianHouseholdIncome,People_Wealth_HomeOwnership,People_Wealth_IncomeRatio80by20,People_Wealth_ChildPoverty,People_Education_PreKParticipation,People_Education_SchoolSpendingPerPupil,People_Education_HighSchoolCompletionRate,People_Education_AssociateDegree,People_Education_CollegeDegree,People_Education_AdvancedDegree,People_Community_SevereHousingProblems,People_Community_FoodInsecurity,People_Community_LongCommuteAndDrivesAlone,People_Community_ResidentialInternetService,People_Community_ViolentCrimeRate,People_Community_ParkAccess,People_ArtsAndCulture,People_Population_Population,People_Population_WorkingAge,People_Population_Children,People_Population_Retired,People_Population_Minorities,People_Population_Rural,Productivity_Business_Gdp2021,Productivity_Business_GdpPerCapita,Productivity_Business_GdpAnnualGrowth,Productivity_Business_RatioOfEstablishmentBirthsPerDeaths2020,Productivity_Business_NetJobsCreatedOrLost2020,"Productivity_Business_PatentsOr10,000OrDecade2005-2015",Productivity_Government_ViolentCrimeRate,Productivity_Government_ParkAccess,Productivity_Government_SevereHousingProblems,Productivity_Government_HighSchoolCompletionRate,Productivity_Government_GovOfTotalEmployment,Productivity_Government_VoterParticipationOrPresYr,Productivity_Government_VoterParticipationOrMid-term,Productivity_Government_DependencyRatio,"Productivity_Nonprofit_NoOfNonProfitsPer10,000People",Productivity_Nonprofit_NonProfitOfTotalEmployment,Productivity_Nonprofit_WageRatio,Productivity_Employment_TotalEmployment,Productivity_Employment_TotalBusinessEmployment,Productivity_Employment_TotalGovernmentEmployment,Productivity_Employment_TotalNonprofitEmployment,Productivity_Employment_UnemploymentRate,Productivity_Employment_PrivateCompanyAnnualAveragePay,Productivity_Employment_LocalGovernmentAnnualAveragePay,Productivity_Employment_StateGovernmentAveragePay,Productivity_Employment_FederalGovernmentAverageAnnualPay,Productivity_Employment_LivingWageFamilyOf3,Productivity_Employment_PayEqualityWomen,Productivity_Energy_RenewableEnergy,Productivity_Energy_TransportationElectricVehicles,Productivity_Energy_EnergyEfficiencyPolicyRank,Place_FoodAndAgricultureSystems_FoodInsecurity,Place_ClimateAndResilience_CO2OrCapita,Place_LandAirWater_AirQualityIndexPerPm2.5,Place_LandAirWater_WaterConservationOrGallonsOrPersonOrDay,Place_LandAirWater_TreeCoverage,Place_FoodAndAgricultureSystems,Place_BuiltEnvironment_ParkAccess,Place_BuiltEnvironment_ResidentialInternetService,Place_Biodiversity
,,,Score,Score,Score,Score,Score,Score,Score,Score,Score,Score,Score,Score,Score,Score,Score,Score,Score,Score,Score,Score,Score,Score,Score,%,$,%,%,%,%,Score,Score,%,%,%,%,%,$,%,%,%,%,%,$,$,%,Ratio,#,"# per 10,000 people ","	# per 100,000",%,%,%,%,%,%,%,Ratio,%,Ratio,#,#,#,#,%,$,$,$,$,$,%,%,%,Score of maximum 50 points,Score,Metric tons of carbon dioxide equivalent (tCO2e),µg/m^3,gallons/person/day,%,%,%,%,%
,,,2018-2020,2020,2020,2020,2020,2020,2020,2019,2019-2020,2019-2020,2019-2020,2023,2023,2023,2023,2023,2023,2023,2023,2020,2023,2016-2020,2020,2017,2019,,2021,2021,2021,2017,2014-2016,2017,2016-2020,2015-2017,2021,2020,2022,2022,2022,2022,2022,2022,2021,2021,2021,2020,2023,2005-2015,2015-2017,2021,2017,2021,2021,2023,2023,2023,2017,2017,2017,2023,2022,2022,2017,2017,2023,2023,2023,2023,2023,2023,2022,2022,2022,2014-2016,2021,2021,2015,2021,2025,2021,2016-2020,2025
01001,Alabama,Autauga,76.6,8027,11,16,11,243,37,18,17,26,38,10.6,45,36,32,42,38,4372,76.6,"$66,444 ",74,4.8,16,,"8,675.00",90%,9%,28%,11.71%,14,15,42,85,24,26,23,"59,759",61,23,16,28,42,"1,502,153","25,137",-1.5,0.9,-319,1,24,26,14,90,22,66,,64,,,,"11,535","9,022","2,514",,3,"45,566","47,068","59,818","64,303",35.36,0.68,3,1,5,15,21.5,,58,50,,26,85,
01003,Alabama,Baldwin,77.7,8118,10,16,10,176,33,17,19,23,35,10.9,65,104,48,47,39,2864,77.7,"$65,658 ",77,4.3,16,,"10,702.00",91%,9%,32%,11.84%,12,12,38,88,23,18,39,"246,435",57,21,21,17,42,"7,830,237","31,774",9.6,1.09,52,3,23,18,12,91,13,65,46,74,4,4.8,1.04,"79,896","69,441","10,455",2987,3,"46,634","49,076","48,700","67,881",33.4,0.74,3,1,5,12,21.5,7.3,64,32,,18,88,
01005,Alabama,Barbour,72.9,12877, ,18,16,457,46,26,13,36,44,14.4,33,24,32,40,41,3559,72.9,"$38,649 ",62,5.2,35,,"8,966.00",76%,7%,11%,4.42%,16,20,37,65,25,22,28,"24,706",59,21,20,55,68,"709,459","28,716",1.4,0.62,107,5,25,22,16,76,19,54,47,69,,,,"7,824","6,320","1,504",,6,"41,882","42,283","51,856","64,541",33.37,0.74,3,1,5,20,21.5,,59,57,,22,65,
01007,Alabama,Bibb,73.6,11191,13,17,12,216,38,23,16,32,40,13,63,40,27,34,31,4856,73.6,"$48,454 ",79,5,29,,"10,203.00",81%,7%,12%,3.97%,11,16,55,75,27,26,18,"22,005",63,20,17,26,68,"392,249","17,825",-1.5,0.89,93,0,27,26,11,81,26,55,44,59,,,,"4,831","3,562","1,269",,4,"50,390","39,550","52,059","73,588",35.36,0.82,3,1,5,16,21.5,,52,70,,26,75,
01009,Alabama,Blount,74.2,10787,12,17,11,76,33,22,16,29,37,13.3,21,20,17,42,32,3010,74.2,"$56,894 ",79,4.8,17,,"9,228.50",84%,12%,15%,5.60%,10,14,60,81,28,2,10,"59,512",58,23,19,14,90,"997,835","16,767",13,0.63,-67,2,28,2,10,84,24,64,43,72,3,4.3,1.31,"8,765","6,654","2,111",274,2,"43,277","41,613","43,029","59,615",36.07,0.86,3,1,5,14,21.5,,64,55,,2,81,
01011,Alabama,Bullock,73.8,11406,15,18,18,638,48,26,13,40,46,12.4,30,19,19,32,35,3047,73.8,"$32,027 ",65,6.3,42,,"10,369.00",78%,5%,12%,3.55%,13,16,49,59,15,1,29,"10,202",61,21,18,79,51,"236,820","23,213",-5.9,0.8,-24,2,15,1,13,78,20,59,57,64,,,,"2,711","2,181",530,,4,"44,558","42,370","57,309","63,517",35.36,0.67,3,1,5,16,21.5,,79,55,,1,59,
01013,Alabama,Butler,73.5,12717,13,18,14,340,45,22,14,32,41,13.5,21,85,37,34,33,4201,73.5,"$39,442 ",72,5.3,34,,"9,564.00",86%,8%,14%,5.92%,12,16,35,76,33,5,27,"18,650",56,23,21,49,71,"652,486","34,986",9.7,0.89,-143,3,33,5,12,86,13,63,46,79,,,,"6,638","5,801",838,,5,"41,867","44,772","52,424","55,508",35.4,0.83,3,1,5,16,21.5,,44,62,,5,76,
01015,Alabama,Calhoun,72.8,11826,12,17,12,255,37,21,16,28,38,12.9,60,149,66,39,30,3722,72.8,"$48,166 ",71,4.8,25,,"10,212.80",85%,8%,20%,8.12%,12,16,30,82,32,29,16,"115,788",60,22,18,29,34,"4,245,199","36,664",5.4,0.7,-993,4,32,29,12,85,26,58,45,67,5,3.3,0.89,"43,840","32,298","11,542",1075,4,"43,673","46,720","53,380","64,431",33.34,0.76,3,1,5,16,21.5,,54,60,,29,82,
01017,Alabama,Chambers,73.8,11059,13,18,13,393,41,22,15,32,43,13.2,43,9,20,44,29,3181,73.8,"$45,447 ",69,4.2,32,,"9,973.00",83%,10%,14%,4.06%,17,15,28,77,37,11, ,"34,088",59,21,20,45,49,"844,188","24,765",4,0.93,249,1,37,11,17,83,20,59,50,69,,,,"8,532","6,842","1,690",,4,"45,024","47,138","43,872","62,337",39.29,0.79,3,1,5,15,21.5,,55,63,,11,77,
01019,Alabama,Cherokee,74,11396,12,18,11,140,41,23,18,29,38,12.8,38,24,16,47,31,3916,74,"$46,365 ",78,4.8,27,,"10,628.00",80%,11%,13%,6.60%,9,14,46,77,31,8,20,"25,302",57,19,24,9,86,"533,432","21,083",12,0.59,-331,2,31,8,9,80,24,60,48,75,8,3.6,0.79,"5,232","4,002","1,231",137,3,"41,165","43,346","48,489","57,428",35.47,0.86,3,1,5,14,21.5,,59,52,,8,77,
01021,Alabama,Chilton,74.4,10342,13,18,11,162,38,22,16,31,41,15.3,23,73,29,41,31,4009,74.4,"$55,142 ",74,4.1,22,,"8,781.00",82%,8%,14%,5.63%,15,16,51,78,19,6,13,"45,884",59,24,17,20,87,"1,001,475","21,826",3.5,1.07,-110,2,19,6,15,82,21,60,51,69,,,,"9,044","7,139","1,905",,3,"44,782","41,632","48,642","55,366",33.35,0.76,3,1,5,16,21.5,,60,59,,6,78,
01023,Alabama,Choctaw,74.2,12129,13,18,14,262,41,22,15,31,43,12.7,40,8,48,34,45,3102,74.2,"$40,601 ",83,6.3,32,,"12,072.00",81%,10%,12%,3.63%,10,17,48,64,0,0, ,"12,439",56,20,24,44,100,"501,532","40,319",0.4,0.58,-202,2,0,0,10,81,13,73,47,79,,,,"3,398","2,969",429,,4,"58,013","39,230","33,433","50,411",35.74,0.53,3,1,5,17,21.5,,118,60,,0,64,
01025,Alabama,Clarke,71.7,14428,14,18,14,177,41,23,13,32,41,13.7,47,92,35,30,29,3547,71.7,"$45,447 ",73,5.9,29,,"10,594.00",82%,8%,14%,5.41%,12,19,35,68,29,3,22,"22,515",58,22,20,49,76,"761,922","33,841",1.3,0.89,323,3,29,3,12,82,20,70,53,72,8,3.2,0.52,"8,180","6,506","1,674",202,6,"48,975","42,731","53,111","67,009",39.29,0.61,3,1,5,19,21.5,,68,61,,3,68,
01027,Alabama,Clay,72.9,12554,13,18,12,179,39,23,16,31,39,14.4,31,14,14,40,29,4412,72.9,"$47,036 ",77,6.3,28,,"9,699.00",83%,12%,13%,4.50%,8,15,41,73,26,42, ,"14,198",58,20,21,20,100,"434,129","30,577",8.4,1,108,0,26,42,8,83,21,66,48,71,,,,"4,349","3,452",896,,3,"42,427","37,178","40,191","60,736",35.42,0.86,3,1,5,15,21.5,6.9,32,75,,42,73,
01029,Alabama,Cleburne,74.3,10530,12,18,11,112,38,22,17,29,37,13.5,27,53,,39,26,3277,74.3,"$49,769 ",77,4.6,22,,"9,332.00",83%,7%,16%,4.19%,9,16,56,73,16,40, ,"15,346",57,23,20,8,100,"298,888","19,477",14.6,0.76,-73,3,16,40,9,83,32,63,45,75,,,,"2,440","1,649",791,,3,"56,351","42,725","43,674","68,023",35.36,0.74,3,1,5,16,21.5,,111,78,,40,73,
01031,Alabama,Coffee,75.3,9298,12,17,12,176,44,20,15,30,40,13.7,47,92,35,36,40,3313,75.3,"$55,052 ",69,4.8,24,,"9,958.00",86%,13%,23%,8.49%,10,15,31,84,20,6,16,"54,805",59,24,17,31,47,"1,403,123","25,602",11.1,0.7,599,4,20,6,10,86,16,57,44,69,3,4.6,0.71,"16,545","13,868","2,676",602,3,"42,243","44,961","46,083","69,312",35.36,0.65,3,1,5,15,21.5,,187,46,,6,84,
01033,Alabama,Colbert,73.9,11072,12,17,11,138,37,21,16,29,37,10.5,63,52,49,47,30,4273,73.9,"$53,341 ",72,4.6,24,,"11,363.00",87%,8%,18%,6.76%,11,16,25,74,24,21,33,"58,033",58,21,20,23,44,"2,444,622","42,125",4.4,0.99,-168,3,24,21,11,87,19,65,45,71,6,1.5,0.58,"24,140","19,497","4,643",289,4,"53,648","52,387","44,560","126,327",33.31,0.7,3,1,5,16,21.5,,54,48,,21,74,
01035,Alabama,Conecuh,71.2,15565,14,18,15,316,43,24,14,35,43,11.4,42,53,18,42,28,8348,71.2,"$35,621 ",79,4.2,34,,"9,883.00",88%,9%,12%,5.70%,8,16,41,62,15,1,27,"11,206",56,20,24,50,81,"457,634","40,838",0.9,1.8,-86,4,15,1,8,88,21,67,51,79,,,,"3,143","2,483",660,,5,"43,590","40,480","50,084","54,146",38.95,0.76,3,1,5,16,21.5,,71,60,,1,62,
01037,Alabama,Coosa,73.9,13477,12,17,12,223,42,22,16,30,42,11.7,,19,,44,34,2604,73.9,"$45,954 ",81,4.1,30,,"11,708.00",85%,9%,11%,3.38%,11,14,37,75,16,2, ,"10,166",59,16,25,34,100,"175,564","17,270",1.8,2.5,-204,2,16,2,11,85,24,62,51,69,,,,"1,448","1,105",343,,3,"51,910","37,693","34,438","57,481",35.36,0.58,3,1,5,14,21.5,,90,77,,2,75,
01039,Alabama,Covington,72.9,12059,12,18,12,154,45,21,15,28,38,12.1,54,80,37,39,37,5332,72.9,"$44,188 ",75,5.5,28,,"9,672.00",85%,11%,16%,6.31%,13,16,28,75,26,18,27,"37,602",56,22,22,17,70,"1,151,784","30,631",5.5,0.94,-462,1,26,18,13,85,17,60,49,79,,,,"11,918","9,938","1,981",,3,"42,951","41,765","50,197","66,214",33.35,0.73,3,1,5,16,21.5,,34,56,,18,75,
01041,Alabama,Crenshaw,72.6,12025,13,18,13,226,40,22,15,31,41,12.9,15,69,23,36,37,3098,72.6,"$38,037 ",75,5.8,29,,"9,305.00",81%,8%,16%,4.89%,8,15,46,64,0,0, ,"13,025",57,23,20,30,100,"441,247","33,877",19.3,1.5,128,0,0,0,8,81,20,63,69,75,,,,"3,242","2,590",652,,3,"45,771","39,923","47,848","47,748",40.04,0.78,3,1,5,15,21.5,,81,57,,0,64,
