database_name,display_name,category
# Auto-generated display names mapping,,
# Review and edit display names as needed,,
"# Categories: top_level, sub_measure, metric_group, metric",,
,,
# TOP_LEVEL MAPPINGS,,
Society,Society,top_level
Environment,Enviornment,top_level
Economy,Economy,top_level
,,
# SUB_MEASURE MAPPINGS,,
Society_Health,Health,sub_measure
Society_ArtsAndCulture,Arts and Culture,sub_measure
Society_Community,Community,sub_measure
Society_Education,Education,sub_measure
Society_Wealth,Wealth,sub_measure
Economy_Employment,Employment,sub_measure
Economy_Nonprofit,Nonprofit,sub_measure
Economy_Business,Business,sub_measure
Economy_Government,Government,sub_measure
Economy_Energy,Energy,sub_measure
Environment_BuiltEnvironment,Built Environment,sub_measure
Environment_ClimateAndResilience,Climate and Resilience,sub_measure
Environment_LandAirWater,"Land,Air, and Water",sub_measure
Environment_Biodiversity,Biodiversity,sub_measure
Environment_FoodAndAgricultureSystems,Food and Agriculture Systems,sub_measure
,,
# METRIC_GROUP MAPPINGS,,
,,
Society_Community_FoodInsecurity,Food Insecurity,metric_group
Society_Community_LongCommuteAndDrivesAlone,Long Commute and Drives Alone,metric_group
Society_Community_ParkAccess,Park Access,metric_group
Society_Community_ResidentialInternetService,Residential Internet Service,metric_group
Society_Community_SevereHousingProblems,Severe Housing Problems,metric_group
Society_Community_ViolentCrimeRate,Violent Crime Rate,metric_group
Society_Education_AdvancedDegree,Advanced Degree,metric_group
Society_Education_AssociateDegree,Associate Degree,metric_group
Society_Education_CollegeDegree,College Degree,metric_group
Society_Education_HighSchoolCompletionRate,High School Completion Rate,metric_group
Society_Education_PreKParticipation,Pre-K Participation,metric_group
Society_Education_SchoolSpendingPerPupil,School Spending per Pupil,metric_group
Society_Health_HealthBehaviours,Health Behaviours,metric_group
Society_Health_HealthResources,Health Resources,metric_group
Society_Health_LengthOfLife,Length of Life,metric_group
Society_Health_LifeExpectancy,Life Expectancy,metric_group
Society_Health_QualityOfLife,Quality of Life,metric_group
Society_Health_LengthOfLife_LifeExpectancy,Life Expectancy(Length of Life),metric_group
Society_Health_LengthOfLife_PrematureDeath,Premature Death,metric_group
Society_Health_QualityOfLife_FreqPhyDistress,Frequent Physical Distress,metric_group
Society_Health_QualityOfLife_FreqMenDistress,Frequent Mental Distress,metric_group
Society_Health_QualityOfLife_AdultWithDiabetes,Adult with Diabetes,metric_group
Society_Health_QualityOfLife_HIVPrevRate,HIV Prevalence Rate,metric_group
Society_Health_HealthBehaviours_AdultsWithObesity,Adults with Obesity,metric_group
Society_Health_HealthBehaviours_AdultsSmoking,Adults Smoking,metric_group
Society_Health_HealthBehaviours_ExcessiveDrinking,Excessive Drinking,metric_group
Society_Health_HealthBehaviours_PhysicallyInactive,Physically Inactive,metric_group
Society_Health_HealthBehaviours_InsufficientSleep,Insufficient Sleep,metric_group
Society_Health_HealthResources_AccessToCare_Uninsured,Uninsured,metric_group
Society_Health_HealthResources_AccessToCare_PrimaryCarePhysicianRate,Primary Care Physician Rate,metric_group
Society_Health_HealthResources_AccessToCare_MentalHealthProviderRate,Mental Health Provider Rate,metric_group
Society_Health_HealthResources_AccessToCare_DentistRate,Dentist Rate,metric_group
Society_Health_HealthResources_QualityOfCare_FluVaccinations,Flu Vaccinations,metric_group
Society_Health_HealthResources_QualityOfCare_PercentWithAnnualMammogram,Percentage with Annual Mammogram,metric_group
Society_Health_HealthResources_QualityOfCare_PreventableHospitalizationRate,Preventable Hospitalization Rate,metric_group
Society_Population_Children,Children,metric_group
Society_Population_Minorities,Minorities,metric_group
Society_Population_Population,Population,metric_group
Society_Population_Retired,Retired,metric_group
Society_Population_Rural,Rural,metric_group
Society_Population_WorkingAge,Working Age,metric_group
Society_Wealth_ChildPoverty,Child Poverty,metric_group
Society_Wealth_HomeOwnership,Home Ownership,metric_group
Society_Wealth_IncomeRatio80by20,Income Ratio 80/20,metric_group
Society_Wealth_MedianHouseholdIncome,Median Household Income,metric_group
Environment_Landairwater_LandtreeCoverage,Tree Coverage,metric_group
Environment_Landairwater_AirQualityIndexOrPm2.5,Air Quality Index/ PM 2.5,metric_group
Environment_Landairwater_WaterConservationOrGallonsOrPersonOrDay,Water Conservation,metric_group
Economy_Business_DependencyRatio,Dependency Ratio,metric_group
Economy_Business_Gdp2021,GDP 2021,metric_group
Economy_Business_GdpAnnualGrowth,GDP Annual Growth,metric_group
Economy_Business_GdpPerCapita,GDP per Capita,metric_group
Economy_Business_NetJobsCreatedOrLost2020,Net Jobs Created,metric_group
"Economy_Business_PatentsOr10,000OrDecade2005-2015",Patents Granted,metric_group
Economy_Government_GovOfTotalEmployment,Gov of Total Employment,
Economy_Government_HighSchoolCompletionRate,High School Completion Rate,
Economy_Government_ParkAccess,Park Access,metric_group
Economy_Government_RatioOfEstablishmentBirthsPerDeaths2020,Births per Deaths,metric_group
Economy_Government_SevereHousingProblems,Severe Housing Problems,metric_group
Economy_Government_ViolentCrimeRate,Violent Crime Rate,metric_group
Economy_Government_VoterParticipationOrMid-term,Voter Participation - Mid Term,metric_group
